         17004346 function calls (16945508 primitive calls) in 13.105 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       79    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
     7304    0.005    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
    10736    0.005    0.000    0.008    0.000 mathtext.py:2823(<genexpr>)
    12288    0.005    0.000    0.005    0.000 _mesh.py:60(colors)
     1722    0.005    0.000    0.015    0.000 {built-in method builtins.any}
     5268    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
     1222    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
3442/2148    0.005    0.000    0.501    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
    12288    0.004    0.000    0.004    0.000 ray.py:108(_u_in)
    970/1    0.004    0.000   13.107   13.107 {built-in method builtins.exec}
     1509    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
  708/652    0.004    0.000    0.044    0.000 inspect.py:2198(_signature_from_callable)
    782/6    0.004    0.000    1.028    0.171 <frozen importlib._bootstrap>:978(_find_and_load)
      722    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    12288    0.004    0.000    0.004    0.000 face.py:286(vertices)
    12882    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
    11392    0.004    0.000    0.004    0.000 face.py:330(boundary)
    11392    0.004    0.000    0.004    0.000 numeric.py:1417(_cross_dispatcher)
       27    0.004    0.000    0.023    0.001 __init__.py:904(_rc_params_in_file)
    723/8    0.004    0.000    1.026    0.128 <frozen importlib._bootstrap>:663(_load_unlocked)
     2561    0.004    0.000    0.077    0.000 re.py:271(_compile)
     1937    0.004    0.000    0.007    0.000 inspect.py:2467(__init__)
      756    0.004    0.000    0.006    0.000 inspect.py:2750(__init__)
    12288    0.004    0.000    0.004    0.000 plane.py:118(k)
     6602    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
     7132    0.004    0.000    0.004    0.000 {built-in method builtins.setattr}
     5424    0.003    0.000    0.006    0.000 sre_parse.py:254(get)
    774/6    0.003    0.000    1.027    0.171 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  753/752    0.003    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     2887    0.003    0.000    0.007    0.000 typing.py:704(__setattr__)
     6328    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       37    0.003    0.000    0.010    0.000 enum.py:135(__new__)
     2325    0.003    0.000    0.068    0.000 inspect.py:594(getdoc)
     1509    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
 1346/461    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
       30    0.003    0.000    0.003    0.000 {built-in method io.open}
     5887    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
       12    0.003    0.000    0.041    0.003 artist.py:1314(_get_setters_and_targets)
     1509    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.003    0.003    0.003    0.003 {method 'start' of 'fiona._env.GDALEnv' objects}
        4    0.003    0.001    0.003    0.001 {built-in method _ctypes.dlopen}
        1    0.002    0.002    0.002    0.002 {built-in method posix.read}
     2773    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     7148    0.002    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     7600    0.002    0.000    0.002    0.000 ray.py:86(_u_in)
     2298    0.002    0.000    0.004    0.000 pointvector.py:194(__key)
     1891    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x7ff4f5e70240}
      385    0.002    0.000    0.011    0.000 typing.py:603(__init__)
        1    0.002    0.002    0.002    0.002 {method 'read' of '_io.BufferedReader' objects}
      331    0.002    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
        1    0.002    0.002    0.032    0.032 qt_compat.py:65(_setup_pyqt5)
      371    0.002    0.000    0.006    0.000 colors.py:193(_to_rgba_no_colorcycle)
     2887    0.002    0.000    0.004    0.000 typing.py:590(_is_dunder)
      611    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      717    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     2392    0.002    0.000    0.011    0.000 enum.py:284(__call__)
      412    0.002    0.000    0.041    0.000 artist.py:1278(get_valid_values)
     1149    0.002    0.000    0.006    0.000 pointvector.py:201(__eq__)
      743    0.002    0.000    0.004    0.000 typing.py:113(_type_check)
      939    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
  515/211    0.002    0.000    0.041    0.000 sre_parse.py:411(_parse_sub)
     1971    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      717    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
    611/8    0.002    0.000    1.025    0.128 <frozen importlib._bootstrap_external>:722(exec_module)
       41    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
      722    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1689    0.002    0.000    0.046    0.000 artist.py:1350(is_alias)
     1548    0.002    0.000    0.020    0.000 __init__.py:784(__setitem__)
      611    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
